line	mccatmus	tridis	transkribus	correct
L001	Gurato	Jurato		Turato.
L002	Ili 23. d'eposturg.	Ti 23. dagostonn		Alli 23[?] d'agosto 1679
L003	Cofia dl Stato dlle mninit d'Iura, de casins cets posh a ditrcusco. fsioent	Cosia d stato dile amime l lara & lasins totto postn dicto luolo . Prd		Copia d.lo Stato d.lle anime d'Turà, et Cassine sotto poste a d.o luoco [...]
L004	5^t 47. Gane Dohr. Jrosfe. Jatre d'cfamrlia. es-	. Gan: Potro . Busso . Jatte I familia . co		M.o Gioan: Pietro Borlo padre d'famiglia
L005	padonn Grancora mua moglie. ?co.	uadona Francera sua moque. co		Madona Francesca sua moglie
L006	p. Giot Ant - muo fig^eco-	e. Gio. Anl. suo fis		M. Gioan Ant.o suo fig.o
L007	Madona fbrlisabettn sua	adona stolisabetta sua		Madona Elisabetta sua fig.a
L008	Jacsa sur Il ditts.	Lucra sua dl ditto.		Lucia sua fig.a d.l ditto
L009	sembrotis pus dl ditt	Encrotio mo de ditto		Ambrosio suo fig.o d.l ditto
L010	Uolehion Mrahgare Il Pa ino.	alcnin srnigatio I Paino .		Melchion Menagati[?] il Pavino[?]
L011	19	7		[skip]
L012	Joonnn moque dl dist vel hion	Joonna no que lditt uelction		Joanna moglie d.l ditto Melchion
L013	L20			[skip]
L014	10			[skip]
L015	LV10.	Co		[skip]
L016	par quritz fLege dl ditt Mate a li i8. odsbreicés	uergarita fig I ucto vata ali vesta clo beno		Margarita per maritar fig.a d.l ditto Nata ali 18 d'8bre 59
L017	Jone fratille dt ditt del Csin.	Io me Fratllo d ditt lot dion		Gioane fratello d.l ditto Melchion
L018	Trrcha moglie It ditte.	Luercha moglie 1it		Lucretia moglie d.l ditto
L019	L			[skip]
L020	p^i Letr fg. dl ditt Nat ale Loapile. 75.	lo: Letro figuetra E ditt Nato ali 2o . aprile . 74		Gio: Pietro fig.o d.l ditto Nato ali 20 aprile 74
L021	pr Mario,	Jo Marra		Gio: Maria fig.a d.l ditto Gio: Angelo[?]
L022	Angtinetrh	Sngelafig		[skip]
L023	c Il dix p: Apls Hahale 1. Serrz6.	I dit p: Frgsl Natali 1. Obr28.		[…] Natali [?] 8bre [15]6[?]
L024	crt ditt p. Anfolo. Mata Le 180. aprilt 19	d ditto po. Ragrlo Pata di 1s. opill		[…] d.l ditto Gio: Angelo Nata ali 18 aprile 7[?]
L025	Groane Trahlo. Il ropra sioitte. dul hiont	hioane Fratillo . I toprasuitto uelihion		Gioane fratello il soprascritto Melchion
L026	Aongelinn moglié d'dille pac lefoave	Angslina noglie d ditt paspare		Angelina moglie d'ditto Gioane[?]
L027	⟧ran. sqe d'ust prsone Natoali roaprils 78 .	tran . Equea d tto Gioane alo ali ro aprile 78		Fran.co fig.o d'ditto Gioane Nata ali 20 aprile 78[?]
L028	sacobe Ggrahle dl copra suile eueldhion .	Jaco to pratele El sopra sritte sudcion		Jacobo fratello d.l soprascritto sud.o
