line	v2	mccatmus	tridis	reconciled
L001	Turato.	Gurato	Jurato	Turato.
L002	Gio 23 d'ggoilo 1579	Ili 23. d'eposturg.	Ti 23. dagostonn	Alli 23 d'agosto 1679
L003	Capia delnato delt arine d'pre 9 casu sttofebea ditrohunio 502	Cofia dl Stato dlle mninit d'Iura, de casins cets posh a ditrcusco. fsioent	Cosia d stato dile amime l lara & lasins totto postn dicto luolo . Prd	Copia d.lo Stato d.lle anime di Turà, et Cassine sotto poste a d.o luoco [...]
L004	Mo Gioan: Pietro Borlo padre d'famiglia	5^t 47. Gane Dohr. Jrosfe. Jatre d'cfamrlia. es-	. Gan: Potro . Busso . Jatte I familia . co	Mo Gioan: Pietro Borlo padre d'famiglia
L005	Madona francosa sua moglie	padonn Grancora mua moglie. ?co.	uadona Francera sua moque. co	Madona Francesca sua moglie
L006	M. Giaa Ant.o suo fig.o	p. Giot Ant - muo fig^eco-	e. Gio. Anl. suo fis	M. Gioan Ant.o suo fig.o
L007	Madona Elisabetta sua	Madona fbrlisabettn sua	adona stolisabetta sua	Madona Elisabetta sua fig.a
L008	Lucia sua figa d.l ditto	Jacsa sur Il ditts.	Lucra sua dl ditto.	Lucia sua figa d.l ditto
L009	Ambrosio suo figo d.l ditto	sembrotis pus dl ditt	Encrotio mo de ditto	Ambrosio suo figo d.l ditto
L010	Melchion Aenagati iel Pavino	Uolehion Mrahgare Il Pa ino.	alcnin srnigatio I Paino .	Melchion Menagati[?] il Pavino[?]
L011	1	19	7	[skip]
L012	Joanna moglie d.l ditto Melchion	Joonnn moque dl dist vel hion	Joonna no que lditt uelction	Joanna moglie d.l ditto Melchion
L013	Gi	L20		[skip]
L014	Fag	10		[skip]
L015	Gifo	LV10.	Co	[skip]
L016	Miar marita fig.a del ditto, Nata ali 18 d'eobre 156	par quritz fLege dl ditt Mate a li i8. odsbreicés	uergarita fig I ucto vata ali vesta clo beno	Margarita fig.a del ditto, Nata ali 18 d'8bre 59
L017	Gioane fratelo d.l ditto Melchion	Jone fratille dt ditt del Csin.	Io me Fratllo d ditt lot dion	Gioane fratello d.l ditto Melchion
L018	Lucretia moglie del ditto	Trrcha moglie It ditte.	Luercha moglie 1it	Lucretia moglie del ditto
L019	M	L		[skip]
L020	Gio: Pietro fig.o d.l ditto Nato ali 20 aprile 74	p^i Letr fg. dl ditt Nat ale Loapile. 75.	lo: Letro figuetra E ditt Nato ali 2o . aprile . 74	Gio: Pietro fig.o d.l ditto Nato ali 20 aprile 74
L021	Gio: Mr i. Aet ttotne	pr Mario,	Jo Marra	Gio: Maria fig.a del ditto Gio: Angelo[?]
L022	Anggtla fog.	Angtinetrh	Sngelafig	[skip]
L023	Gio: Miel ditto Gio: Angel, Natoali 15 d'8brr76	c Il dix p: Apls Hahale 1. Serrz6.	I dit p: Frgsl Natali 1. Obr28.	[...] del ditto Gio: Angelo, Natali 15 d'8bre 76[?]
L024	Gio: del ditto Go: Angelo, Nata di 15 pribt79	crt ditt p. Anfolo. Mata Le 180. aprilt 19	d ditto po. Ragrlo Pata di 1s. opill	[...] del ditto Gio: Angelo, Nata di 15 [aprile?] 79[?]
L025	Gioane fratello il soprascritto Melchion	Groane Trahlo. Il ropra sioitte. dul hiont	hioane Fratillo . I toprasuitto uelihion	Gioane fratello il soprascritto Melchion
L026	Angelina moglie d'ditto Gioane	Aongelinn moglié d'dille pac lefoave	Angslina noglie d ditt paspare	Angelina moglie d'ditto Gioane
L027	Fran.co fig.o d' ditto Gioane Nata ali 20 aprile 78	⟧ran. sqe d'ust prsone Natoali roaprils 78 .	tran . Equea d tto Gioane alo ali ro aprile 78	Fran.co fig.o d' ditto Gioane Nata ali 20 aprile 78
L028	Jacoho fratello del soprascritto Medoo	sacobe Ggrahle dl copra suile eueldhion .	Jaco to pratele El sopra sritte sudcion	Jacobo fratello del soprascritto Melchion[?]
