line	v2	mccatmus	tridis	reconciled
L001	Gio: Aagelo Gaptarono el fnmata, padre d'famiglia	Angole g affavone d/ sanczadu pre d'efnaulin t	Eagelo q affarono dl saugeda jue defaaitia	Gio: Angelo Gasparono el Sanegata[?], padre d'famiglia
L002	Tomasina moglie del ditto	psomasissa epglie dt dit	o masisia musie	Tomasina moglie del ditto
L003	Simono fig.o del ditto, Natoali 20 di Novembre 156	sinrond fign d ditt seale ali ro. d' Homebro. 1186.	arono chueao dl ditto Satoa ro d Noue bo. 1115	Simono fig.o del ditto, Natali 20 di novembre 156[?]
L004	Monta fig.a del ditto, nata ali 28 d'8bre 1560	prourte fiy.e il ditt. Hatre al. 78. d'Ebro. iI64.	Ronila fieoa de dicto . Nata ai 2 8. do. 1168	[Monta?] fig.a del ditto, nata ali 28 d'8bre 156[?]
L005	Fmn	Bat	a	[skip]
L006	Gio: iel ditto, Nato ali 9o d' bre 1572	bil dist Nabali so. d'Ebro. isri	t Rabiali so 1 dbo	Gio: [...] del ditto, Nato ali [?] d'8bre 1572
L007	Gio: Pietro fig.a del ditto, Nato ali 20 d'8bre 157	por Jchoreyl. il dul. Natcale 20. I'Eb0. II 75.	Lclosi 1 di2 Vabali 2o . 1 to . 1125	Gio: Pietro fig.o del ditto, Nato ali 20 d'8bre 157[?]
L008	Arnardon	Brnardim	B.marda	[skip]
L009	Bioario ig. de ditto, nato ali 20 giugno 1578	rg^e del dix, fat ale roigigne 1178.	ieo del dito Vato ali 2o . quigno 1178	Bernardino fig.o del ditto, nato ali 20 giugno 1578
L010	Jartola fratelo del dito	& artelois rabille dif.Qi	arbla fraelae	Bartolo[?] fratello del ditto
L011	Joanina moglie d'ditto Bartola	Joanisa moglie d'dits barbola	Jraniera moqieddico darbla	Joanina moglie d'ditto Bartola
L012	M	DS		[skip]
L013	Margarita fig.a del ditto, nata ali 12 d'8bre 1575	Margavilt fig. de dit./atn al. I2. d'Ilod.125.	uargaritacfis . de dict tata ali ver . d ho	Margarita fig.a del ditto, nata ali 12 d'8bre 1575
L014	Gioane	Guvane	hivane	[skip]
L015	Gioao fio. del ditto, nato ali 25 d'otteobe 157	je d ditt Hate a li 25. d'oilb. Vire	e ddit Rato ali 2s. doabe n	Gioane fig.o del ditto, nato ali 25 d'ottobre 157[?]
L016	Ambrosio fratello del ditto Bartola	Honbretio efrasllo. dl S. Carhle.	uresio fratllo . dl . Gartela	Ambrosio fratello del ditto Bartola
L017	Gio: Maria Gastarono del Peverada, pade d'famnlia	toittaria affaronc.Il. souernda pre d'fumlia.	e: Maria zaflarono . El Peuerada pred familia.	Gio: Maria Gasparono del Peveranda[?], padre d'famiglia
L018	Elsabetta moglie d'ditto	Aerlesabellr one qlie d'ditte.	salizabelta noqlied ditt	Elisabetta moglie d'ditto
L019	Gio: Ant.o fig.o d'ditto, nato ali 20 d8bre 1570	p. Ante sige d'dite flat alins. Aro. 1520	Je. Anto Riqguod dito Sat aliors . ddcho . 120	Gio: Ant.o fig.o d'ditto, nato ali 20 d'8bre 1570
L020	Gio: at	M. pat	Bar	[skip]
L021	Marth	Marlin;	Martsa	[skip]
L022	Gio: a fig.o igiotdo, nato di 26 oerbobe 1575	Giq^te d'dit. Fate. ali 26. octot. 1175.	lig. d di Dato . di 26. octo61175	Gio: Batta[?] fig.o di ditto, nato di 26 ottobre 1575
L023	Gio: iet ditto, Nata ali 21 d'febre 1576	Vik. Katnale ji.d'phro nre	ditt . atuali rid plilo n	Gio: [...] del ditto, Nata ali 21 d'febraro 1576
L024	Togno del pino dl mala ongamba, padre d'famiglia	[logne dl pins dl malu ongeebn, pre l'hamelin.	loquo dl pimo E mila pigambu Juel familia	Togno del pino[?] [d]el mala ongamba[?], padre d'famiglia
L025	Angelina moglie del ditto	Angrlino moplie dt dite	Engrlina moge dl ditt	Angelina moglie del ditto
L026	Margaro	Margant	Margan	[skip]
L027	Miogaret del ditto, nata ali 28 detbre 1573	erl dit. Haln ali 28 8afrd. 175	del dict . Fata ali & setro dpad . 1I	Margarita[?] del ditto, nata ali 28 d'8bre 1573
