line	v2	mccatmus	tridis	reconciled
L001	Ansina elta matrha va	Casine della masssaza:	Casina della mas  laza	[skip]
L002	Aicolo d'Pigori pat d' famglia	Nicoleo d'Aigogi. prs d'hrmius	licolo d Ligozi . pro d famitia	Nicolo d'Pigori[?], padre d'famiglia
L003	Joanina moglie del d'itto	comina moque Il d'itz	yaina moqte 1ditt	Joanina moglie del ditto
L004	Madalena fig.a del ditto	Madalbne fig.n Il dite	nadatna Fry. 1it	Madalena fig.a del ditto
L005	Monrta fig.a del ditto	Bonsta fiqe dl ditt	Bonsta fig. dl Vitt	Monetta fig.a del ditto
L006	Margarita fig.o della dittoa, nata ali 25 d'magio 1502	par garst fiq. dlla ditt Hata ahe 75. d'magis 1162	Margaritafig . Olla ditta Nata ali 25. d magio 1109	Margarita fig.o della ditta, nata ali 25 d'maggio 156[?]
L007	Jmmardino fig.o del ditto, nicolo	pomurdine frgt et ditt flicolo.	Ernardino Fiio dl ditt Nicolo.	Bernardino fig.o del ditto Nicolo
L008	Jcomna moglie del ditto	pacomina moglie Il ditt.	Jacomina quo qlie ll ditt.	Jacomina moglie del ditto
L009	Ant.o fig.o de'ditto Bardnio, Nato ali 16 08tobe 1572	ynt? fiz^. d'ditte onardme Nabali i6. Sclob. is22	Entdo figeo E itto bnardino Rabali ib . oclob. 52	Ant.o fig.o del ditto Bernardino, Nato ali 16 d'8bre 1572
L010	Aaetta fig.o del ditto, nato ali 15 gernaro 1574	J atta fig. dl ditse. fats ali I1. grnaro Vrg.	Gatta fiqueao dl ditt . Nato ali 11 . grnaro 1179.	[...]etta fig.o del ditto, nato ali 15 gennaro 1574
L011	Gio: Patro fig.o del ditto, Natali 13 d'ftebraro 1570	p. Iadrofiq.Il dit Nabal 17.d' frbure 4126.	J : Ledrofrig. I2 ditt. Pak ali 13. d Frkaro js76.	Gio: Pietro fig.o del ditto, Natali 13 d'febraro 1570
L012	Catharina fig. del ditto, Nate ali 17 aprlleo 1576	Calsarina fig. el sis. Katdli 17. a qoello is 16	callarina fig. d1ik. Dateali i2. agoto 1125	Catharina fig. del ditto, Nata ali 17 aprile 1576
L013	Tana d'figari pe d' famglia	Gratta d' Lig i. pre d'hamirio	Ratta d Zips zi pe d Lanilia	[Tana?] d'figari[?], padre d'famiglia
L014	Antomia moglie del dittto	prtéma moglie dl dit	Entoia mogliedl dit	Antonia moglie del ditto
L015	Gatate mone Gio: Angrlo fig.o del ditto	22 fierte noom po Angrls fige et dict	tmem Jo: Angrlo fiu. de dich	[...] Gio: Angelo fig.o del ditto
L016	Gaoa cota g	spest. ct ple	575t	[skip]
L017	Juio camno	ures censes ;		[skip]
L018	Paulo fig.o del ditto	fauls fge d/ diz	Pauto fris. Of ditt	Paulo fig.o del ditto
L019	Anfano fig.o del ditto	Shf ans figle dl dett	Srfano Fry . El dit	[Stefano?] fig.o del ditto
L020	Gartolamino fng.ao del ditto	Parlela nro frg^e del dit.	Bartotamro fis. 12Ditt.	Bartolamino[?] fig.o del ditto
L021	Gio: Pitoo fig.a del ditto, Nato ali 24 fio 1562	J0i 2r40. fsg^. Il dit fabali 29. fero 162.	Jo. Ltro. Fii d dit Palali 27. Xo . No2	Gio: Pietro fig.a del ditto, Nato ali 24 [?] 1562
L022	Lucuico fig.a del ditto, nato ali 5 d'luro 1566	luavier fig^e 3 ditt. fal. Ali 5. Plais. 1366.	Luauico fi dl ditt. Hat . Ai 1 . Pmo .1166.	Ludovico[?] fig.a del ditto, nato ali 5 d'luglio 1566
L023	Bionisio fig.a del ditto, nato ali 1 8bro 1567	pionisis frg^te d ditt Hat. Ali & Flro. 1567.	Dionisio fig. d dilt Vat : Ali 7 5lo. 1167.	Dionisio[?] fig.a del ditto, nato ali 1 d'8bre 1567
L024	Josofo fig.a del ditto, nato ali 30 magio 1570	Jo sefo fig^e dl ditre Cab ali 70. magio 170.	Jo sefo . frue. l ditto ato ali zo. mago11zo.	Josefo[?] fig.a del ditto, nato ali 30 maggio 1570
L025	Aatta fig.a del ditto, nato ali 28 agosto 19	Patta fig. el ditl stat.dli 23. agolb. 1529.	Batta frg . I ditto . ato . i 23. agosto . 1134.	[...] Batta fig.a del ditto, nato ali 28 agosto 1[?]
L026	Marbara fig.a del ditto, nata ali 3 genaro 1576	parbarafige d dict fatn ale 3. grnare n36.	Barbarafigea il dict Nata ali 3. grnaro 416.	Barbara fig.a del ditto, nata ali 3 gennaro 1576
L027	Marchio: Ant.o fig.a del ditto 2e6 Margo 1576	March Ant e frg^t dl dilf. 26. mar70. 475	aren Ftut . fig . Il ditto . 2b . Mar jo . 1555	Marchio[?] Ant.o fig.a del ditto, nato ali 26 marzo 1576
